test,predict
3.734555556,3.560038
3.671111111,3.6214776
3.699111111,3.5693946
3.3363333330000002,3.881012
3.146777778,3.708209
3.118444444,3.16412
3.182444444,3.0229957
3.117555556,2.9109232
3.013111111,3.0177069
2.955,3.2158322
3.040888889,3.1197689
2.963111111,3.474451
3.143555556,3.5962207
3.1022222219999995,3.316421
3.076444444,3.090374
3.000555556,3.07031
2.923888889,2.9476068
3.022666667,3.0369813
3.02,2.9898694
3.118222222,3.2092922
3.019666667,3.1743398
3.158,2.956339
3.036444444,2.8739517
